artist_id;artist_name;track_id
4oLeXFyACqeem2VImYeBFe;Fred again..;61pyjiweMDS1h930OgS0XO
3IunaFjvNKj98JW89JYv9u;The Japanese House;36YY9Yeq3XastTeC1e0VmN
6M98IZJK2tx6x2YVyHua9K;Scott Hardkiss;61pyjiweMDS1h930OgS0XO
33YsWRCg88zGFdA0xjxeLO;YFG FATSO;5kH2TnSD7jgEzlcSWXRZXl
687cZJR45JO7jhk1LHIbgq;Tems;47hsUYxvbTlBAN3sP9dEOd
6VR4TJ20WGiho2xZWMuuWb;Lambrini Girls;5CZVAq0vKiE7iVeJbjLl67
4ZbFpxbORhzU78ve8e62Ej;Tasha;1WfEUgnWKJLPpuEbEj69qh
1jwOuEBcOKq0BeudSarbEM;Amen Dunes;5WnApmMxAleZU7RqcuRypB
7ljTofQBh5fR5SYfGHRYs8;Alan Sparhawk;4rEia0VIARZo9WnH7MhUO6
7fgs0Ym1ukMZDgKjx8mbMe;fantasy of a broken heart;3nFh3VQoEFJYl1jz2VcWbh
7xTo7ipdBZezIoyAkmcRge;Tribulation;6mIJJBuErDdVgyezVWcbFO
27JCep1zDO3K8GY50trDo6;Nikki Nair;4qBe4cwJyOwj83R1GDRqR3
5rv6OYiDFLm0gQ8wbihOib;Muddy Monk;3hz3jzz1kQghemTSEOaXHK
422Vo1v0NaW7ZVU8EwvhKW;Giorgio Poi;3hz3jzz1kQghemTSEOaXHK
6v6OE9MQreCmwuAqF0NfzQ;ratbag;4ZvoE03wSTX4gSneaH1L2J
13GH7wviJQ9gfZmr1pXHS4;Unprocessed;0ebPoRRxbStq12XF1HgyVl
7AgbNZPRrvTpWjVbbPoUmU;Odie Leigh;4CSI3i12ju7A4RfW3DhD0I
7d0wUlQ0ZXIGFa0YzuBiR6;Tanukichan;62ZTzwoCs7AmirXl7BSpni
3TJZG17pjOKXwx1ELKJPfm;Wisp;62ZTzwoCs7AmirXl7BSpni
6P86FLVAK4sxu8OhyQJBvH;Kaitlyn Aurelia Smith;2Xrbukz6tXgmSS0K7l7kYV
380fnmlGnkyueBMqGWx2k5;Joe Goddard;2Xrbukz6tXgmSS0K7l7kYV
6wmTznuYHk73RoBXkYEBnV;Onsloow;6qNQ4XoJfwUhoP0zXoksrj
4yRSUmhuSJ3KcIMljdh4fH;Chat Pile;2V0hvlkjUrp9GxL6iHnOJD
3OyC0tKaejLvZHB4s78zED;Starflyer 59;2HtRdzbltAwbhjCNp0SB0d
2lciIw4vq0jQqevXA2TEUl;Kara Jackson;5thf5fzKD3tBooHlbwML78
75JMPNQ1B2A6WZydvs06Ok;Megra;1fHVz3ffi5k4kASyAITzpN
7MxGWmiAbqjNOGmj23wbWf;Sasha Keable;36zutQQkUnFPbLYIcVxJi8
4IVAbR2w4JJNJDDRFP3E83;6LACK;36zutQQkUnFPbLYIcVxJi8
4V30Q8ACPdJCcAmAYibfrH;Dora Jar;341bqzt1REzbvIodveSRSJ
00JAfwtx5gNiiqyor88Dr5;Arooj Aftab;4A4BdAB3MPQhLn7MZZOSmW
0K4Pj79XGQRXv1ESJADlMX;James Francies;4A4BdAB3MPQhLn7MZZOSmW
0AJltdSFgxM1li4ad74mIJ;Gulfer;1O8EJLixTJmVC1HLddj5qE
73MDShZzdL4vUGMkmXOG6X;Haley Heynderickx;2dLVXnwdnstcHIRTJMgqsx
7L9i7U3GAu8NDpxvuAjb8Y;Market;4boKhmp1Acx4RLXHZwzj6n
61NKNrhSMTYg2q0f3vS46e;Philippe Katerine;6uBOkq10cGEvQjF3bygMYX
2KlDlqEMf0YyYW8rBKUx6W;Lescop;7JO6qzrdKcydC5rPHhbeXH
5xS8cfsAaFyy188dNJGDbM;Ela Taubert;1N9n5G6elGqnLm3KSVG7Ir
65dGLGjkw3UbddUg2GKQoZ;BADBADNOTGOOD;2enifRQ2CMEK8VPFhtX7cR
4us4NMG5wuqdUZvthZrj0Q;Militarie Gun;6kPUaajgvBhYzPaOZvJu40
49xQzRRO1vI3fmCdbPTwBB;Dream Nails;4kGdweO4IGJABy06tHmyUO
3d93jQ6vfQHLJSMbjr7o6M;Bad Moves;2dMNciITsFnBIb78bMRIoy
0EJdA6JT738oZGopzk8Usg;Voyou;7zIncbn5OIPjHKrlPSBNdJ
35fcckhFq2cF2u7hIG0fPv;Stove God Cooks;4g8YoLnpwVGiQm4pwEokUU
04UrujFn9VOscInw9kwHH8;Stoupe;4g8YoLnpwVGiQm4pwEokUU
0IqC2A5HTnTIKzqcFXJQms;Luster;5JLhwWXFpHeBz9I5KutZZT
21WONmlGjC0BUY7OycaNvb;Charlie Kaplan;4xvFSVNxqSeWFbrpCBFC8T
5vjIHa1u3TnOlDvVDR9qQa;Midwife;0YODMi7BpALFBJFGeydCDN
4lZnkaz9aOPIE9gdDCztBZ;dear francis;31JEHJCMIYb6EU1TYVBvF4
4GoD5FJCgC0lbzde7ly44M;Biig Piig;23bXqg4y1R7VRzpY1x7xNX
151BUVKmiB9rHDjIkgbeVE;Apollo Brown;42hdLpBBTq213TIjvyoSnU
0giUOGLTAaVVbdr7aSwM0N;CRIMEAPPLE;42hdLpBBTq213TIjvyoSnU
4gzpq5DPGxSnKTe4SA8HAU;Coldplay;65wzicJctsW9GwnTnLWxQO
3ZpEKRjHaHANcpk10u6Ntq;Ayra Starr;6HTjqv0AsiZ34fOMcGCbSX
4coMsvF8UAoIjOnNCz6Es2;Mediocre;4qlR54adNva35J2ox9Apmz
1dwirHaSjsKJUYDHgvl2op;GIFT;79PatmbsVvjeS4Q3p5zZ4F
1Wxx3yxd6gZsNiAF1OwLk0;Olof Dreijer;1AG0zqRn0lKTXDqcnXKa1x
6XePd0EqV9enJtOlKcb6o6;Diva Cruz;0JapvpbFcgy3NzB8zeVAw9
7ELgaDINZw50qnlbK7iPhG;Thirdface;13VrzkK5WJDlBXyv46IvEi
5RNFFojXkPRmlJZIwXeKQC;Bryan Ferry;491IJw5T7r2a45NM7clcNk
7rZNSLWMjTbwdLNskFbzFf;Sugababes;7r1gaUJMOm7NPLOM7KUtSU
3t58jfUhoMLYVO14XaUFLA;Pat Metheny;3sn5gqosgrs0y1ljACKUCt
1TkiNxDsrc0PgIWBrATCbe;Wishy;0l9GXpgaE7lBxl29G68Lfu
5dyPWLr4wOvR1d6tSSVgrv;Sol Invicto;1lOCYC8ljy7ZmqTH4I96g4
5g6MeOHOenBIm8tyVjRfwQ;Cypress Hill;1lOCYC8ljy7ZmqTH4I96g4
