artist_id,total_follower,artist_popularity
67gqUXxHedeUGDTxwBzdjS,322655,60
4Gl9z6ofcOFmKePvJJkaEv,8105,41
7lkNv4c37Rh6WU6AZSe87g,1947,10
4k1lFL4m8vmWnBdBenGraR,723,7
4wMQTWavQZgr8ySlo5s2Tt,59618,43
1pi7nGhOM7PTHR5YEgXVGq,247610,70
2KEqzdPS7M5YwGmiuPTdr5,1025243,58
21UPYSRWFKwtqvSAnFnSvS,390725,65
2p4aN0Uxkk3iT3HK0cJ2cJ,1203965,73
3DbwFQlvLxRSi2uX8mf81A,1071361,77
4dYQmk5ma04mZ1KJ9KkAQK,109869,61
6i2nxb8jZ6cmWzI7UkS7Np,602,19
20HVrU8f5rcNg2aZkMiSP0,16363,36
79bQnsHQLiPkCxKoi7zu0f,302,20
6niigcazB2JPcpasZfZvq1,111751,38
4z6YFfgSe8cIY9HxKUe531,36858,43
6qgnBH6iDM91ipVXv28OMu,1472097,74
3MM3uKNdJbvefUael12dl3,55447,57
7z3XgqpRYdNJ7RvEUlYaUe,10908,37
70uAxbEwXzRjLIuTFpdolw,4333,12
0yknvLWQZxwsMjhUhwWZQ8,190804,62
0hF6lbAjRsq4svrQUr5sgU,326484,64
3BcgTyEdL81zMljmXcilZM,223577,62
43s6uFZrdusv7ggmDSpO41,156279,61
1emgDf5qBtbL909f2Pt7uP,13357,34
41gxyJbzbAaChEyrZ9j3rv,14629,35
2rqNUPgkBgbhcRabUQ5C9g,150444,38
26AmoMf8mCSUdM2p363S6e,23,7
1gfwRuJObryOpbyjNqv3mi,461,5
3beAmqA2s5xwxDAIFJwDG9,12514,18
3PubLnxnO5N2Avr3UvG1Vc,6695,36
7nFgEBWvaRhDHSSmgUeQR1,835,7
1U1el3k54VvEUzo3ybLPlM,7317445,82
790FomKkXshlbRYZFtlgla,47418721,87
7LCDnUQYE07fnKbo46SVLB,98016,43
4ZG4S6skttdVhHz08AjMhR,25986,27
5fLSo9mAFFDtAJDo3Q2xcT,53951,46
37ASGd4rWpHjuVonnYAN6S,49748,52
7z3W8OunO3RH0quodR8Zsu,675,6
5yWDRD9Mxe9b50KZl61gJX,1391,11
3WTrdbZU99dgTtt3ZkyamT,908610,62
0R2UqQKBdSADXMN2Gx5CrB,6084,21
7bgO3Md82fHRDoFY1HnYlv,2349,13
0AJltdSFgxM1li4ad74mIJ,12621,26
1tho5dJnzdYD57EQkM3SmK,106955,39
20bPwdCt5LLFy2OVmZarDm,5265,29
74V3dE1a51skRkdII8y2C6,550602,63
2kAeDHyhTvvRY3zavI2Amr,2493,17
3IijBhV1c1mOVCyXO4RXiT,2168,18
6Cjn6Iu1NYSu1QsRzjSJTV,3652,18
0H20KZnm0XPqNYQ6EsIAyo,11969,39
7wlFDEWiM5OoIAt8RSli8b,12740220,80
79TwARTyI0yVfFgyhqpKgm,5654,15
0bsV0sUjnCuCTYOnNHQl3E,124295,39
2fSaE6BXtQy0x7R7v9IOmZ,451106,54
2xLEV2jDreAOcpJXFNoXyt,125596,46
0XG6XAE3Zeh4tfkLZS9OoZ,565,11
1pJjT9XxNky39USV1eAHhN,1774,16
3UrPyPQXYnTL8qOgZagBIG,340,2
78rUTD7y6Cy67W1RVzYs7t,3387468,75
7df6s0ZqRT1OAPw4H3wSzM,1188,13
2RqrWplViWHSGLzlhmDcbt,417839,47
1i5wnmWm0vvahGw2Yilkc8,195,2
7azK2z2ta4tYMqDmrSOBBe,6341,12
5FdrFhHWZupu9cqlWAg2WR,854,11
181bsRPaVXVlUKXrxwZfHK,9164124,78
5DDuwU1X2Aqdp3CxfXstRe,18326,33
27JCep1zDO3K8GY50trDo6,17425,34
21C9Dbg9CD3Dv8NaD7iW8e,113233,36
6S3Z6Me30mtdm526H17v8k,95453,39
4fsQyHWKED0KhPzgQBPWh2,2889,26
3IJ21966TwNZI24MwZHMu4,483433,67
7bpsiElrldRZYB3CbwFZlx,10030,28
6nrwVCgpbdrOfGiu8A0tVh,1672,10
1yeZSt0NrlRsgscElnX09R,1076,11
4LLGTNLQEH0XNPAQSa36Sa,1526,14
3ckZktRMn9jidQuRarXJ7T,305,11
7yHfb2D8qIBgrzclpSsTeo,22725,29
6rnbB5fuUuCSsspvFsxIpT,167314,41
1nDzzoDVAeT9c5PkreI1yI,7839,18
3KPadylqCEe5YEMhZ09ZH3,4877,17
3ME5MgDqwM6G3UDLmwjftA,15149,34
06HL4z0CvFAxyc27GXpf02,113603082,100
72VywtXEoONiBLNu3ibGI7,359966,53
5YOOZDm22sEdpPpf8QX9J8,501,6
3W4xM5XYtUp4ifYYPVKVdk,163318,42
68UA9076k6lewTq2slA1FN,8591,17
4YIMPSc3zZLRwe4Ujaxjce,9457,22
3tlXnStJ1fFhdScmQeLpuG,6033295,82
0dODGPXWl5fINZ9KYIA7gs,10118,43
2wIVse2owClT7go1WT98tk,2474813,69
3NsSv8HchEwfa7bGkjb4ZC,27884,40
1rdXEdH8SRIqbuTbzQzd93,134571,41
70GBRlKEGjfueop2lfdQ4Q,92122,38
1O9iHQjrVuiAYOJFCBeFSl,118514,49
7c0XG5cIJTrrAgEC3ULPiq,5298684,82
6khlvGagBlNVPYIknFCPeJ,460,21
3x8MpdnONnHCqbwizrn29H,9579,34
7pHput1tbvgyLsIYu7GM1p,1609,10
6pSsE5y0uJMwYj83KrPyf9,103143,46
6chuFWw4BmHxOc3X0cC8Ct,23142,28
2wY79sveU1sp5g7SokKOiI,23792758,81
2QGKlPTuKnYoIKGS8dt7zO,9633,21
1pvkxX6Q1JG8rnyBZ3t2MQ,1460,20
4boI7bJtmB1L3b1cuL75Zr,7079152,73
2AR42Ur9PcchQDtEdwkv4L,332223,48
1yI0RRPnOA9BFJmiZ6cEzw,68748,40
1TkiNxDsrc0PgIWBrATCbe,4600,33
4q3ewBCX7sLwd24euuV69X,82534052,93
3WGpXCj9YhhfX11TToZcXP,8173809,76
4XquDVA8pkg5Lx91No1JxB,268809,52
68BVYIej5jGdIh8au5qELn,37386,33
6S6u5pS5ywg7rv50rhpobQ,46735,39
2yh299nlctFR4sx8krBlRj,777,16
4ezBKqi9gOB2jt9OUw2cmc,51519,37
0lO7jMxJqFPUbJ1gQJWF9V,127,1
7iuVDISjBb5k5GypjLxWM6,133,3
1hLiboQ98IQWhpKeP9vRFw,904734,65
4UodukR17NIQfNu5uaqm9B,226994,47
7Hjbimq43OgxaBRpFXic4x,761760,58
4e9TBaTlI3LVQz3tkTYC0I,84824,55
4Ijbgdusp7syatYSHIIulR,38073,45
1xtLlHD0Fzp23P5nEHAfFk,999,14
1Aj8pOvTqlxEJs9y2tOqMK,5,5
76EvBmjXmObNoZWfrnEEnQ,375,10
7HO5fOXE4gh3lzZn64tX2E,435169,64
3TVXtAsR1Inumwj472S9r4,89863833,94
360IAlyVv4PCEVjgyMZrxK,5082872,78
4wLIbcoqmqI4WZHDiBxeCB,262810,43
687cZJR45JO7jhk1LHIbgq,1884469,77
