artist_id,total_follower,artist_popularity
7auVoAwdrloWdyKULVOauu,18680,28
4LEiUm1SRbFMgfqnQTwUbQ,3778141,75
5jh7sgXW2njALiIh0aPXjB,116539,42
4Gmrt82h2vjGjnp67SG5Nw,53192,46
49O77SKrEk1b9sNjhI0kM4,25665,36
2HGAZDmVV3GAH4XFAZdvSG,124282,51
5CFSYjc0PAiQvndFjafabk,296385,61
1R84VlXnFFULOsWWV8IrCQ,222337,55
5iUnvXddCpOrbWKm7QMr6o,126820,52
59oA5WbbQvomJz2BuRG071,1613803,73
6WP8xxDLcPKNgdQWjU3BzN,5346,26
2Mvgw0Sfyepmz6lgRAooex,17961,47
29rvPhemBdOLYdLr2xI8dr,45005,45
3c5PAcbkeFrbWUp42FaBkW,17405,24
0aE0jIMsKSVBasU5D0e5zM,2200,25
3Ut1IKlpXHBQwxklMxBsPX,181815,60
1nRbtbdYK51y71nVOxu332,626973,60
5szilpXHcwOqnyKLqGco5j,1691645,72
64ATDQsFeDvIJokVA2YVke,33637,42
73XtH9MpvvvcUxQxYEAX15,12259,27
5IWCU0V9evBlW4gIeGY4zF,247504,56
0aCjVhVSBUMVwo7WRrdLiJ,39702,42
79yETfINxnDl54mTKLZUlb,14519,24
335TWGWGFan4vaacJzSiU8,175024,55
2xGbY9iFLZqd9BK0YV1aKW,18644,50
39hfuTf4PHfnHgIl0QBDGL,71122,56
3diDUq8QMCCtx8a4Jy42aO,57185,39
0BXnfQpsxFevtKePq6eX4y,57047,40
1peoXq0RPx7czVoFjloeDQ,220026,58
4fpwOzxFRMVGfd197dKIdY,266180,64
1VuBGdfqq86BQyiDactQAC,34275,43
4ZAk3yVJdtf1CFnTiG08U3,153621,49
3QTDHixorJelOLxoxcjqGx,1102236,65
3jK9MiCrA42lLAdMGUZpwa,2622303,75
3CiuXDKttPUT0tWGHicFUH,91752,50
5EF4drUzQkdBnQSDZfAZZ4,568,19
39ZHUueufhIdbW4yu9uODG,33122,35
2Y8G3abt5hRU7X9RNi7dlZ,4352,15
7axZFTseO96HmG1u4ABDAI,127357,50
5jy9tglmQRLmTmcqz2qyUa,40934,35
5A7T1LAGJg5NXySBoIKUmF,195178,60
4q3ewBCX7sLwd24euuV69X,89899399,100
3ztRX1UoIOsFqpD7dB6R8O,77124,40
0HRGx78eQaMqoHoopLfi2h,100156,59
4VnDOpK4rdMBMihlIt6Uxr,11131,29
16QCJENzcdhwka9bTKYMVB,185185,46
7dYpljfleToKnSmBFqjqkd,11290,32
3qOGTt4eTeEkCn3efhAGu2,10104,38
1nIJEqPyIj5qutlgWNmQB0,85655,45
6U1lmwvy3I9dIYu9RalJi6,85581,42
3l0CmX0FuQjFxr8SK7Vqag,5701899,79
53by9P3tpXOW1diWCI6MNu,69357,38
2rLGlNI6htigNxx172qxLu,79142,50
4VivsO1n4n2Mi2Btyb5gfL,133921,47
1b1pwTnc2DJVXGy8pniShT,49618,46
5LhTec3c7dcqBvpLRWbMcf,528448,66
6DJEUXZm0e2rAohdoZ5Voo,272023,54
20dRvQDfCTLJU0pgq13ZYp,93609,40
4uG8VYp1GLQpZVokfG2Ui7,9788,33
0IVapwlnM3dEOiMsHXsghT,216889,42
0ygIgsjUzKivFgxgjQ9iV9,93324,37
7fKO99ryLDo8VocdtVvwZW,967008,50
3nwYsifpwrKmCIpw4i0HDW,520321,63
1Kg4nxeTD9wP3082jp1nkH,59931,31
31kZNy2FQoUD4V8LUr9exv,6646,16
4svpOyfmQKuWpHLjgy4cdK,450157,46
2ZcNubl5ligYVy7MCs2JJ9,817,16
7DNWAdCPicuaw9vhjudRlS,3760,18
0VcpOwnjkQaqDeEiVa9cu5,24200,38
2Au9zIICTEr0oeV1iQrJ6X,12517,33
04JuXvm8MDLVe845QWe137,1382,16
6cpzd2aRLmkE06P4lFFMlj,21951,31
75klPfIVnyYcyEGaicRUSF,92536,40
6RRpZz1uPqY9E28kmSPAhw,281470,48
27qVZWcFcgOFp4pbsA7Pvd,1207,7
3tM7dj8ztmzKcugbIVMxy0,16062,39
5eitAUlYmlha3LLWg7aBn5,137760,42
79YjWaAoD88XGLETIsnnQV,60219,40
6fxyWrfmjcbj5d12gXeiNV,2728101,72
3BAgmPNIK5IJl7zMK1wvMA,1071604,69
27nD8P491xX8UzG3j01eIY,49407,40
5he5w2lnU9x7JFhnwcekXX,7669226,74
7vvicoei9BbKpZix8qSeLg,66776,51
3ou3XMRNmyDSy6gnC1bSgN,170539,50
2E1NFr5AeEGUJkLUUsWCAO,48618,49
5VYRcaryFLFZnA5HvnRHFi,1210,46
63XBtGSEZINSyXylZxEUbv,1182884,64
1zQJBLCGM0tdPW9XwgdEll,14482,36
6q3p11nP1p80Ey6LrOOSed,95797,52
0eVyjRhzZKke2KFYTcDkeu,787182,70
5lofelrRCFBwzTF616hSx4,15176,23
33U9I7yBy34UXqKYObItne,94733,56
3nQsp2bILdh0XwthliZsSv,645,12
7fzE5Hf6zNW15WACzqrPIU,483,9
2WcCoPxAWFNSCvsFPrpf30,127769,36
33qOK5uJ8AR2xuQQAhHump,3923311,85
5txKJQwlX202UqnBPII2PK,11977,37
21UPYSRWFKwtqvSAnFnSvS,487828,66
27WVFBOddxovimxMmBN4fb,106377,55
716NhGYqD1jl2wI1Qkgq36,17369993,80
2JAxtl8czMHyssC2W7b8jy,27009,44
4u2LxHDBsFDH3J9NumXSCH,7050,32
41gxyJbzbAaChEyrZ9j3rv,16902,42
1AHswQqsDNmu1xaE8KpBne,190770,55
0zo109NM3S7CqHpvlXwqEN,74687,42
4m7q9onIm2bqhwHy9utqmw,64882,51
1vxsourLLLfobrxyWAcuQH,95006,43
6XZ6Yyn1McxgRoEkKQgpZA,2923,17
33aS3DKsGRMWBwjM9ddhak,46315,44
18mAiJGFVBU5YdiIUIdzL2,132381,31
2sflbTtCirog5VxD6jPAfb,258072,55
42yf4QkiE9a252krn9OUCb,374674,52
0s4kXsjYeH0S1xRyVGN4NO,448707,64
1mI6keuM9rBbs9GdbAHzgr,1612,15
7BMR0fwtEvzGtK4rNGdoiQ,200993,56
3ajf12ub55b51qcS94d9Co,270199,51
3SXwqSqAoBz9WCI9PDQzY6,791985,71
7LPqtwClp78XM85lJWaiKQ,35000,49
0viYlscdaUskUy6oZfqm7i,9202,23
5PAOxo6t7il1UN7HFurcph,29036,42
7GlBOeep6PqTfFi59PTUUN,4761628,84
74KM79TiuVKeVCqs8QtB0B,18349487,90
1GTIvySxCJ0Kq2ie1UuTB1,4868,29
2VddwtW7ie3dDcW8WKXHdn,4498,34
4f4Ee5QjHnoeSdlxTaK6rx,23351,37
2cAvReLDmjFQtCJFDJbHBU,367966,51
2WBJQGf1bT1kxuoqziH5g4,776792,70
7jEEE187pVG6InOxn03oA5,289185,64
3yDIp0kaq9EFKe07X1X2rz,165892,72
1OFOShsIbhy1l5x73yuVyB,936386,65
7sLtFQOS2kTEnMPTFLFU1t,15060,25
4cUkGQyhLFqKHBtL58HYVp,332963,59
7rzyYETlkvNEdxdtSUXXTV,3579,38
6Tyzp9KzpiZ04DABQoedps,703152,58
3qwabfaWewpfli7hMNM3O8,385141,52
0tbeZu9lv8YEKSQ9tZSslu,437150,56
4j8CsPzssbM8TCjSvgnmSs,35237,32
3DkhgIw7lIyxekurpXNTrm,58602,42
6vjKiruwh9k8dDi1rYvI82,2031,13
4qxFzMJxrNzlv11J7pCY5q,8541,40
3e2PXYMu8ijWVUZOhgU018,1367,13
5BRAUN0yN8557PLRZIr02W,299692,58
2datC2OML2YxykP6vnDRmg,125183,52
7w29UYBi0qsHi5RTcv3lmA,2249199,62
7ltDVBr6mKbRvohxheJ9h1,8431411,77
3VHAySZQPlfGlNLslzXYpN,1271564,66
6LEeAFiJF8OuPx747e1wxR,1051262,67
7AZm56bjPk0tYl6LTyJu9N,14523,41
5NvbTsi0Mi1mdeDchU2YkG,7392,21
24ExnkYwR4QoLamXGi4sOR,15913,33
39i5B6umzWzkfMe12JrMwW,101647,55
1pi7nGhOM7PTHR5YEgXVGq,310735,67
6Gl4Q3ePw6HKMfIOix5QpG,52541,38
0N9CUdcRxZfnPGAmbkuUrm,10685,22
5xuNBZoM7z1Vv8IQ6uM0p6,2409266,61
4dwDVC6lrMINxVBxETE1AB,94087,63
2YZyLoL8N0Wb9xBt1NhZWg,36508863,93
4Sw0SFu1fFdYXdAEVdrqnO,155963,46
2l1xTBTIBaAiJhekoLM8mk,33257,35
11GeSCHSovaw6Y9u4BFvVZ,1488,12
2Po3wDMnscAuYcxubluJJL,17,2
5k8cbLF5EZnAhwDvHN6Toj,3761,27
163tK9Wjr9P9DmM0AVK7lm,10139696,76
0m1QOHroy845vm0zq28eIA,797,22
4OAddazJM576euUnFSvXSL,733060,54
4RkC3KmYWnr6PM1FM5Shwz,26610,28
6UE7nl9mha6s8z0wFQFIZ2,855421,61
67lytN32YpUxiSeWlKfHJ3,1035135,65
4DJHbK2NrlVn7hCkTrUs69,11104,34
2eRDm8pl8MFrZv1gsfqUtj,1380,11
2h5syT5XdsQgKLq8Yn1klO,84830,48
6r26MaDr8bqNALjXgYPXMa,102599,38
1mVk9jJNL0m9WIs0a1BQdS,8981,43
4zmZ8lVLzGc84S4v2B1rLx,2450587,69
4FNR2qdCVKGAep4alfgt25,33676,45
4HwlolvniI44ETSg5tajeZ,65601,40
6PEMFpe3PTOksdV4ZXUpbE,326980,55
17Zu03OgBVxgLxWmRUyNOJ,262594,57
7hJcb9fa4alzcOq3EaNPoG,13889528,82
1eNO1DUCOtZgCzlwtjtb1t,174337,55
2hk94pAZS1iYSqoICeTyh1,49243,46
06HL4z0CvFAxyc27GXpf02,131228901,96
1zkKkDDra0jlsiJYz57P3P,113655,58
7d1ctWXfrUvAe804Zld3Gy,24609,51
4eArh1v6UwBbKkjdgHCned,105460,56
3wvfYm6zG9B5o7eGY5zcLu,1690,12
0F9yMp30FUREoa635VLsY8,7797,32
5KTykbPcDB4GYS49jcHbWh,149962,57
4iMO20EPodreIaEl8qW66y,1061629,65
4wyNyxs74Ux8UIDopNjIai,895421,58
7exHU37Tr2al1SGQDhqy3Z,9963,22
2RiGIRDi4GoJpDbjDnPVJl,152446,46
5WMjcRzR0IT378qta9NdXp,3674,5
0s0dPjkfl82y54vFVDWelo,233,9
1rGSYidxwKVwew2k0cuUFi,3727,21
4oyNUG8iIjumhys2WE8bCe,16,0
0FtsMKmZEq8fBWqdSOWtqp,510281,61
6xS5PpBWaVYraexEkEjjXv,472921,57
2voadhFGdduSYHDvsVqyXo,55295,45
6HvZYsbFfjnjFrWF950C9d,10124187,79
2BMq835Yir366yDKvW3Rcv,72281,48
16ReCN8nJeX63Px3pynFze,1564,7
1ybINI1qPiFbwDXamRtwxD,1004757,66
2kQnsbKnIiMahOetwlfcaS,562233,54
0MoDfakkeeD4FwftxAXwEd,28687,29
6nB0iY1cjSY1KyhYyuIIKH,1335787,67
3qWUrXaaCWw9NohGOAKCbD,149,0
4IndUOBCZYZg61557iq2A9,147477,59
5qPRgWcEOGRzoIST0sHAiI,119705,53
4lHTvhSBYET8vaavUNzps0,4096,15
7a0nCvxmDN4c68agh8ajMn,4310,32
2VS0Scj6uSxAJcTl48FCD7,973,2
246dkjvS1zLTtiykXe5h60,46375091,87
19k8AgwwTSxeaxkOuCQEJs,4931380,79
37ASGd4rWpHjuVonnYAN6S,56016,56
6AUl0ykLLpvTktob97x9hO,3866218,68
0RpddSzUHfncUWNJXKOsjy,1250318,64
4CJ5eNfmJHQ5spEAvaxj8F,4921,21
5dHt1vcEm9qb8fCyLcB3HL,4031597,69
5LeiYFiAx31mpoPKxdOLOm,12108,26
1844Ua6R4gOuH6GLdlR4dt,59592,43
0YMVzWF9HWGbV4DZHfCyKo,11789,33
42lURreEClfTEKhRUWm9g0,33,0
10U1DbsjhgAqUMcouK267Q,4937,18
6WFDpw4u23uSpon4BHvFRn,404669,60
3BOfygYBFwHTBFyCbsQVMv,2079,16
6LihBQjVynXpEaT3Oe2oof,13149,24
2GHclqNVjqGuiE5mA7BEoc,997535,60
3BeQqzKdlARoOd6y30kCO2,367992,52
03KZUWKQujlCcgEdcrkvWd,20304,33
2cggyYmdk2HP87tYGtw3La,1713,19
6q4AmzK3GzCuEzkurnYuEQ,88198,43
3wkT6THiKqbXC0jJpfKL7t,12848,38
4DnRQspXhzqgCMkJJmOS4T,23983,38
0rTeZQSxEg1XzZ1dFz6Moz,25190,39
7hCrrpVmgtWF6Y3MZed12l,844,14
4V8LLVI7PbaPR0K2TGSxFF,19572555,90
2102wVVks8Z901vPMjXI3Q,557,4
3HoSXBexKbsOkUk0LTTRZ8,2009,16
2ycbMlovjNV5gks2r8Vtsp,9827,29
4BrSvpXSgT02JhhNULggJk,6669,19
53xeKWbSRuGgTxViJTAZKC,50075,50
3ZMur3elMyOs248ah86NRk,162041,54
3VNzWLePg9jTvQ2ximYOzW,331753,54
7x3mbyjfOZ9y599MHmyNOu,24951,34
6wD4PrOL4VPp0SDCtpbtba,9562,14
27DeRe5LjIt9ZPXUjF90h6,30659,31
4wMQTWavQZgr8ySlo5s2Tt,67933,48
1HvH97rzvCH6lfnLlgyfke,128146,43
