track_id,danceability,energy,key,loudness,mode,valence,tempo,duration_ms,time_signature
4cE5VRcJURYP6hIyFF29N4,0.488,0.651,7,-9.42,1,0.589,62.115,288827,4
3ZeGhZwG9yXecJK0B8WvMA,0.508,0.562,10,-8.179,1,0.169,99.905,226198,4
2E7NmSYFqbN7hyCukgZDlb,0.668,0.819,11,-5.82,1,0.842,127.941,191697,4
5ivI4ndsDzRgUpxfTlziPZ,0.675,0.503,5,-10.199,1,0.445,171.117,185263,4
0P2ag2qoPv05wKjJrncp2v,0.764,0.248,9,-13.792,1,0.767,130.002,147500,4
7sEE8sHWJpGwaOIGC7R5GI,0.349,0.702,6,-5.284,0,0.489,132.866,573024,4
52eIcoLUM25zbQupAZYoFh,0.625,0.733,2,-8.757,1,0.244,172.09,270698,4
3X2xKuavDwk7I5B5XIxPWS,0.609,0.618,11,-6.573,0,0.364,123.682,189670,5
6fUo4GlD0FbvXNTylA4o68,0.781,0.651,11,-8.542,0,0.566,164.797,243264,4
4EEknG22U1g7NlOeRAFhCp,0.645,0.959,11,-6.219,0,0.49,150.007,239572,4
7gaA3wERFkFkgivjwbSvkG,0.787,0.775,1,-6.614,1,0.787,118.998,214994,4
6qFnjQ4ULgV9YU5ukUDdwE,0.446,0.833,0,-3.034,0,0.46,151.952,194069,4
2j9Xt4l2ISs2acdrv19uJr,0.521,0.798,1,-6.707,1,0.391,174.001,161500,4
6sZE18zA8OJpr3h5VDboWH,0.58,0.648,8,-8.061,1,0.207,152.929,64615,4
36j1SeSsw7OZsTO3ogFKEM,0.725,0.842,7,-7.632,1,0.46,134.99,596775,4
5KpCmDP66zOO4sjKuneMjQ,0.765,0.641,0,-7.684,1,0.38,125.023,245360,4
2Xq46ZzWLOuaNJO1eelhET,0.802,0.767,11,-12.17,0,0.506,124.048,209149,4
15YfCOUZ0480yVO8huUvTY,0.607,0.669,9,-7.105,1,0.409,122.338,142457,4
1stT55NjrafK4fu6O2QRPR,0.648,0.362,1,-9.89,1,0.0638,88.417,160496,4
20mwDY2uHbsJqiEcCqOcMH,0.379,0.815,6,-8.323,1,0.778,173.836,171219,4
5LzwhNk7aC0kF8KKJ1i6ev,0.548,0.642,1,-7.921,0,0.751,140.064,96052,4
5tJGW8Wbfyb1TrRjMc8mCc,0.69,0.967,9,-3.879,1,0.155,174.022,179441,4
2BjDceGApWKAoYfrGzpbJC,0.663,0.266,9,-14.882,1,0.0368,95.042,260824,4
59DfLCbFpKbgwb7X3wFGDD,0.415,0.872,7,-6.189,1,0.782,189.922,170213,4
4z3zFBYGC4x4esUbnjqsva,0.442,0.773,5,-5.632,1,0.437,84.22,298922,4
5x7lSKx7IFZ4V5uDIniOT1,0.377,0.595,2,-6.704,1,0.535,71.031,105511,4
2Um1NOMfBMPxBYK5sOVB7n,0.404,0.155,10,-16.474,1,0.218,83.42,247550,3
6GRzvC5GwwDAJM8jeI2M11,0.25,0.655,5,-9.248,1,0.151,90.541,232000,4
1IG6MPqGzVL9YfFxJkVmr7,0.767,0.723,10,-7.362,0,0.443,99.982,204054,4
4tbc7xmFrymbMc7kYDLWrL,0.676,0.477,0,-17.44,1,0.224,135.003,256090,4
25dihw6b05yrnLyqxs3IDO,0.738,0.954,8,-4.165,1,0.926,127.998,107250,4
0we7yhOp1144AJcgZb16H9,0.742,0.648,2,-5.221,1,0.672,134.73,119133,4
3O4rzPMgFjqDWXCOCzNCiE,0.718,0.602,11,-6.874,0,0.41,85.997,178656,4
0kpBoHiJ71ESg58f6IXFkn,0.462,0.37,6,-12.067,0,0.129,74.155,205258,4
2OWv3lRR8PtOVuHWzQNRs2,0.757,0.642,2,-7.966,0,0.759,130.098,165635,3
0roPZdFgmpj7jFe7WstJBK,0.403,0.282,7,-16.261,0,0.132,160.023,362893,4
0m3FbejKZ3KVTpZa1KjdmR,0.705,0.626,5,-11.815,0,0.832,134.975,502470,4
6gfuq5As90qxKATdrCeC8J,0.184,0.153,0,-11.689,1,0.354,184.245,177814,3
0dndViJCRaH3B4oKvVRaib,0.275,0.13,9,-14.852,1,0.0633,141.506,243912,4
3RaG1pAMRHFiCAqcE9KKNo,0.596,0.762,1,-5.59,1,0.452,94.442,211236,4
0G7ckZvVPFF8HSsz99i5Zv,0.393,0.612,1,-11.443,0,0.404,80.377,194430,4
6Xa3ZCamaDFWBmxOFoR2n8,0.493,0.508,5,-6.901,0,0.705,127.852,213641,4
1MRybBzm2b4gsIzcVtP6lP,0.497,0.955,11,-5.087,1,0.43,134.875,142616,4
1XE0e1RmOyFndvpSTtKoxn,0.784,0.282,1,-11.606,1,0.377,77.555,173472,4
3MeQpnrMl1fjVun29DK45k,0.799,0.715,11,-5.862,1,0.434,102.017,143529,4
2NUIlCRqz6OxgGOipYqBCw,0.402,0.129,5,-12.454,1,0.16,108.915,272801,4
4H9yO3xQEpKHbLwF6n5ldj,0.639,0.965,9,-2.764,0,0.499,131.033,220304,4
7oYjWdHi4gwPxOkRVWfSUc,0.856,0.452,9,-8.527,1,0.368,126.007,193042,4
3wiantdFsCOGIFOPoLwWBA,0.397,0.367,2,-11.37,1,0.0674,109.982,202194,4
0KPC6mLZVl3zRi2mIQllRk,0.402,0.215,7,-14.197,1,0.201,97.534,155057,4
0V3MudtYAi92yC4Xjjv9g6,0.682,0.546,8,-12.289,0,0.0983,122.086,468493,4
6mR8WKU0eHUrhn8SvJAsqa,0.643,0.529,0,-12.087,1,0.351,115.054,189074,3
16WI1ZPGF23IV7GJQiBdLm,0.398,0.805,5,-7.962,0,0.233,89.998,272375,4
5QCXuQOfs7HOhJ0B19CASJ,0.635,0.542,8,-10.957,1,0.422,107.101,120151,5
7omJfT9s6V2IpQNBYyq5C8,0.494,0.849,0,-6.438,0,0.512,181.428,262941,5
5ahq8vkzMznGmfN2EVOukP,0.727,0.733,8,-9.81,0,0.586,105.134,212250,4
6g8ntuutiG4ubvDtVJOd1c,0.665,0.867,1,-7.473,1,0.191,134.999,206222,4
3EkJ4FO6RUblVuHFRdDk6e,0.502,0.716,9,-8.087,1,0.491,80.891,292331,4
0EYaKFQHnWk3dukyNPhA8q,0.655,0.764,5,-4.518,0,0.633,159.955,170906,4
5gmF9JPBbeWd9NJaAR9e0C,0.623,0.754,1,-10.649,1,0.0731,160.035,150000,4
165ZtkfUdMu36Wqw7YiyGW,0.609,0.286,11,-13.767,0,0.352,120.513,198650,4
3iQNce2vHa8N9M4uPYOsiT,0.596,0.785,4,-6.453,1,0.417,117.074,262548,4
4h2M6dMap7VhEJZ12FvKku,0.529,0.916,9,-5.038,0,0.357,138.177,126269,4
4Llhzl28U7rmGUE4ckPnBs,0.111,0.983,11,-2.598,0,0.0371,93.174,92170,4
5mPs9u5rptVCnCp4IGM6bg,0.145,0.329,7,-9.646,1,0.0393,78.995,225080,4
3p98ZGbkHuVbXCsf93vNY1,0.618,0.591,8,-10.739,1,0.339,121.828,190892,4
