artist_id,artist_genres
0vmZnQdyuSYbU9F61oApmi,avant-garde
7zfGuFhq0tipa6G6aHuMe0,latin r&b
0fWvSXbvztkeHEnEuYvU2A,power pop
6GEykX11lQqp92UVOQQCC7,east coast hip hop
2bs3QE2ZMBjmb0QTqAjCj3,cold wave
1B8ycQsEGw3fUTkzWs5kFD,neoperreo
4bmyQalHgw8xZFJ116P3ir,neoperreo
4I9SixgrOaKltrQkY8o43u,neoperreo
0LVrQUinPUBFvVD5pLqmWY,madchester
1wlzPS1hSNrkriIIwLFTmU,alternative hip hop
2PJEagPIxaBugeMjIyKVXF,drill
35dxfY1wywqVRUEaVuMm13,jungle
7GDrXlpRrdG29o4n0pNR5D,bassline
1iW3b73XWPQSknLyH5kDrd,drum and bass
4SX1RwkM82CQll2eoV9HaP,garage rock
6zh25V1pQ8IQpxDYVmFSrT,chicago house
3LEGPWdr7sarYtf2u0ETWN,ambient
0XGJ3GUPwslwFJ66yNbHeh,queercore
5BRAUN0yN8557PLRZIr02W,indie soul
7MxGWmiAbqjNOGmj23wbWf,uk r&b
3BORonJcAjc2wbSv1DXbTZ,dream pop
4j7DrazfBZLLD0OrVoAtEe,shoegaze
0NKaRcyqHnynkv7UMsOhEH,experimental
6wOhrwpLn8mjwUs14xh9nD,speed metal
7qKJMpPZfyGHHwPgsjgFCP,uk r&b
2MQN1o9W3ULxdT38vj8g4Q,jersey club
7ITMCzIU9uII8gwRg8JAhc,jersey club
1R84VlXnFFULOsWWV8IrCQ,neo-psychedelic
0oGtixfxP0ukNPM6KVuwC1,experimental
12trz2INGglrKMzLmg0y2C,indie r&b
4obzFoKoKRHIphyHzJ35G3,latin
5tGG1slV9pkcydU5eQSIvm,mathcore
438fi8qqvXNEPoUrYLIO7J,drill
4pSMnAlD8JVEW3eZDuaQH8,disco house
0Z5pcmXDCKTrFWLnDChC37,electroclash
2xLEV2jDreAOcpJXFNoXyt,alt country
7gdb1IQFHFQqCc5KoLTYNC,post-punk
4nIgCJvBTi7M3pFn2ELhxm,experimental
2CtpjGWvsq4QnUIx9PHDAN,breakbeat
6H3XsRIiUv0xVicrxWIHIJ,noise rock
0zfT626RwO6zN3RDYeRit5,heavy metal
3lmR0qMiGuoIF9UC54egcG,ambient folk
0dltTUV2N49r1UjUTsqe3h,screamo
74CcYmmNeHKe5PrZaISk8e,alternative r&b
5eerVxtb9lY9p6D7m89Bs7,art pop
6KClkGIGey0eKdCwmuBPga,underground hip hop
6U1hXHFTV27cbQVXZvnX27,drill
3l1C23aRp4lfkBK3lLAp2m,uk funky
5QbhVJedf1XUbmQummp2CN,jersey club
5gBHLwml90ZbOelVqI9mS5,stoner metal
0YhYfoCTZKEw5VwaC7dasF,industrial rock
6l7R1jntPahGxwJt7Tky8h,alté
6aDX1jzNVAI9enlQzW0Pgw,gqom
71ISXR7gtIq5E2AdI3jGf0,post-punk
5esKrGWvWmBAmjnao5jInN,pop punk
0eHAMIAxiBEpQdv8UVwSxb,hardcore punk
4qn6hSO1qLlaAW8jiyOw18,surf rock
3bTrwZAKTLYI9zozCH6zxw,baltimore club
7AZwAitWq1KcFoIJhRWb6V,art rock
2nAKP6etu8wXNnezKXgqgg,egg punk
4NiJW4q9ichVqL1aUsgGAN,emo
1ZLU77nRzQIaP23mVSYpCQ,k-pop
4GdgXfdII3qkUcLZqBGSk6,mathcore
1daJkdlSgLE2kmnNUjmRpU,sludge metal
5L1lO4eRHmJ7a0Q6csE5cT,k-pop
3SozjO3Lat463tQICI9LcE,afrobeats
2SaIA1enj83vEmJikZdjQ3,bedroom pop
00hxNB9gMEeMFLLaW06F4J,electroclash
7lsnwlX6puQ7lcpSEpJbZE,art pop
30b9WulBM8sFuBo17nNq9c,k-rap
6fb3I3Q54izgnOMtiZbOBA,metalcore
2Lr6UcfZWL1Ur5spOaduOb,uk grime
2YEOMpI5fq8pz4BeJjoAsQ,alté
6ODDFLh0OwrY4RA32kEZbM,shoegaze
3ZqRIzadY4WYQEg4Hj2vGC,dream pop
5np2XqLanbxQzpEVFG0big,dancehall
3P4vW5tzQvmuoNaFQqzy9q,indie pop
0FnDCrmcQT8qz5TEsZIYw5,j-r&b
4XDi67ZENZcbfKnvMnTYsI,k-pop
5C1S9XwxMuuCciutwMhp5t,hardcore hip hop
0fyaEHmSmZs2YWMgbruITA,c-pop
6XYPDozxzEi0iu380aAYnL,thai hip hop
3Vl9fyKMIdLMswk8ai3mm9,hyperpop
0lVlNsuGaOr9vMHCZIAKMt,heavy metal
6D9BQI3d6y8lOkC6EB7lkU,shoegaze
5a31ExnSl60WxPf1unLhen,jersey club
1H44pbKMHDVSQcYW4joyLK,melodic techno
7IrBqZo6diq3hV3GpUhrs2,uk r&b
7kpAW7boBJFRFCMydZpjUd,uk garage
5c8ZR64evQ00Spl73s76fo,corridos bélicos
2rmkQLzj0k4nZdQehOUByO,música mexicana
1IHjrY7ygKbmLVoUV1VcXc,post-grunge
1Qp56T7n950O3EGMsSl81D,hard rock
2dXj6aC3DsxoTDyhk3u4gl,slowcore
2iGwIqfIXRskkGakunO9sf,french house
3TQvQT0PqlTLLENO4L3Tik,metalcore
7a29ko2je7GUMrbmwn4t3I,mathcore
3Cp20KSVlMlFuOdqiqHFGR,japanese indie
46ufOtURSipSKdxoz8KZzu,egg punk
0EJdA6JT738oZGopzk8Usg,french house
52ZhJRTVz14RYXJY9CTmkt,nu jazz
1EuNDbf2DWqsa9cSgHT1Mm,metalcore
6aiCF0pornq0j11wvKG4dy,j-pop
4QGD0m9AGZixhuPAzaBeD7,afro house
1kAX4yFdmR0hJe2tPu1785,djent
2AOTmilsEJDBEM6SIHFFy6,shoegaze
348pk4o3EhKmsSahzuClSf,argentine trap
687cZJR45JO7jhk1LHIbgq,afrobeat
6l3HvQ5sa6mXTsMTB19rO5,rap
1xcMOgFUM1IYZE22YjCvsL,art pop
3TnlUNMMrwW2IYrlBDTygL,neoperreo
69UVGTxhvI9zrl4tVafMgC,miami bass
4cJD9t5QBFTUQcd3xfbOb2,argentine trap
1WZarnZpWEv7dDtjAETt4X,art pop
1pdiVBF8SDDpleSjlNhP8C,breakcore
6zGzRIBkAMQ2uQn3z8OEyf,metalcore
6BD4lgmnh4vy6kkCaZRDWt,post-hardcore
3SGLeWc7J5Ve0CinAOrb3a,garage rock
2osrICe2kgcit3D086z3Lo,gothic metal
65vqyT3OjG2zvb3cO1s44j,shoegaze
3ZmtxfuEtTsKgKEiM42jQ9,riot grrrl
4nVa6XlBFlIkF6msW57PHp,desi hip hop
7uVynPDWBSuIkL6uTAQSxt,experimental
57ZB0kMmW6JLQAIaCzMG7I,ambient
6rVRU7I6r1lt6bhXGYTRQL,black metal
6LbnbvP0S13LSl8JsBJ9EP,doom metal
4mkGptXsTzOKv0pLhYvx4W,shoegaze
40s4gmRbRxJFQ2w4mVCub3,hardcore punk
37394IP6uhnjIpsawpMu4l,metal
7MoipbqoshfYNfckhzRtYC,mathcore
5274obTQJjzjyycRyJlfml,djent
6vzYdcLnvCyXQbFj4FURxM,hardcore punk
0fEyv0n8MBgXZQLOMcHbZO,sludge metal
41btkKEfOGIHsd7WNahMCi,deathcore
67f7GZXNMGRn98lqrtIdrN,post-hardcore
4iscKytAx2iFQH7l6p1MnP,hardcore
7KSPZyeCKkfkhMkX8rYIhD,black metal
3oSKgWx1dqjhidhnhpGbfJ,post-punk
6snN2rjeQQ7pG8SMJ5w2Gm,post-punk
7K7KTllj7E7Le3jGZTbgJ9,post-rock
